22:24:19 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
22:29:20 | werkzeug           | WARNING |  * Debugger is active!
22:29:20 | werkzeug           | INFO  |  * Debugger PIN: 124-926-052
22:29:24 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:29:24] "[36mGET / HTTP/1.1[0m" 304 -
22:29:24 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:29:24] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
22:29:24 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:29:24] "GET /static/script.js?v=2.0 HTTP/1.1" 200 -
22:29:26 | aura.app           | INFO  | New WebSocket connection for STT
22:29:35 | aura.app           | INFO  | New WebSocket connection for STT
22:29:37 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:29:37] "GET /ws/stt HTTP/1.1" 200 -
22:29:46 | werkzeug           | INFO  | 127.0.0.1 - - [27/Feb/2026 22:29:46] "GET /ws/stt HTTP/1.1" 200 -
23:38:51 | werkzeug           | INFO  |  * Detected change in 'C:\\Users\\kondr\\Desktop\\AURALAVDA1\\database\\db.py', reloading
23:38:52 | werkzeug           | INFO  |  * Restarting with stat
23:38:53 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
23:38:53 | werkzeug           | WARNING |  * Debugger is active!
23:38:53 | werkzeug           | INFO  |  * Debugger PIN: 124-926-052
23:57:55 | aura.app           | INFO  |    Listening on http://0.0.0.0:8000
23:57:57 | watchfiles.main    | INFO  | 7 changes detected
23:58:54 | watchfiles.main    | INFO  | 1 change detected
23:58:54 | watchfiles.main    | INFO  | 1 change detected
23:58:55 | watchfiles.main    | INFO  | 1 change detected
23:58:56 | watchfiles.main    | INFO  | 1 change detected
23:58:57 | watchfiles.main    | INFO  | 1 change detected
23:58:57 | watchfiles.main    | INFO  | 1 change detected
23:58:58 | watchfiles.main    | INFO  | 1 change detected
23:58:58 | watchfiles.main    | INFO  | 1 change detected
23:58:58 | watchfiles.main    | INFO  | 1 change detected
23:58:59 | watchfiles.main    | INFO  | 1 change detected
23:58:59 | watchfiles.main    | INFO  | 1 change detected
23:59:00 | watchfiles.main    | INFO  | 1 change detected
23:59:00 | watchfiles.main    | INFO  | 1 change detected
23:59:00 | watchfiles.main    | INFO  | 1 change detected
23:59:01 | watchfiles.main    | INFO  | 1 change detected
23:59:01 | watchfiles.main    | INFO  | 1 change detected
23:59:02 | watchfiles.main    | INFO  | 1 change detected
23:59:02 | watchfiles.main    | INFO  | 1 change detected
23:59:02 | watchfiles.main    | INFO  | 1 change detected
23:59:03 | watchfiles.main    | INFO  | 1 change detected
23:59:03 | watchfiles.main    | INFO  | 1 change detected
23:59:04 | watchfiles.main    | INFO  | 1 change detected
23:59:04 | watchfiles.main    | INFO  | 1 change detected
23:59:04 | watchfiles.main    | INFO  | 1 change detected
23:59:05 | watchfiles.main    | INFO  | 1 change detected
23:59:05 | watchfiles.main    | INFO  | 1 change detected
23:59:06 | watchfiles.main    | INFO  | 1 change detected
23:59:06 | watchfiles.main    | INFO  | 1 change detected
23:59:07 | watchfiles.main    | INFO  | 1 change detected
23:59:07 | watchfiles.main    | INFO  | 1 change detected
23:59:07 | watchfiles.main    | INFO  | 1 change detected
23:59:08 | watchfiles.main    | INFO  | 1 change detected
23:59:08 | watchfiles.main    | INFO  | 1 change detected
23:59:09 | watchfiles.main    | INFO  | 1 change detected
23:59:09 | watchfiles.main    | INFO  | 1 change detected
23:59:10 | watchfiles.main    | INFO  | 1 change detected
23:59:11 | watchfiles.main    | INFO  | 1 change detected
23:59:11 | watchfiles.main    | INFO  | 1 change detected
23:59:11 | watchfiles.main    | INFO  | 1 change detected
23:59:12 | watchfiles.main    | INFO  | 1 change detected
23:59:12 | watchfiles.main    | INFO  | 1 change detected
23:59:13 | watchfiles.main    | INFO  | 1 change detected
23:59:13 | watchfiles.main    | INFO  | 1 change detected
23:59:13 | watchfiles.main    | INFO  | 1 change detected
23:59:14 | watchfiles.main    | INFO  | 1 change detected
23:59:14 | watchfiles.main    | INFO  | 1 change detected
23:59:15 | watchfiles.main    | INFO  | 1 change detected
23:59:15 | watchfiles.main    | INFO  | 1 change detected
23:59:16 | watchfiles.main    | INFO  | 1 change detected
23:59:16 | watchfiles.main    | INFO  | 1 change detected
23:59:16 | watchfiles.main    | INFO  | 1 change detected
23:59:17 | watchfiles.main    | INFO  | 1 change detected
23:59:17 | watchfiles.main    | INFO  | 1 change detected
23:59:18 | watchfiles.main    | INFO  | 1 change detected
23:59:18 | watchfiles.main    | INFO  | 1 change detected
23:59:18 | watchfiles.main    | INFO  | 1 change detected
23:59:19 | watchfiles.main    | INFO  | 1 change detected
23:59:19 | watchfiles.main    | INFO  | 1 change detected
23:59:20 | watchfiles.main    | INFO  | 1 change detected
23:59:20 | watchfiles.main    | INFO  | 1 change detected
23:59:20 | watchfiles.main    | INFO  | 1 change detected
23:59:21 | watchfiles.main    | INFO  | 1 change detected
23:59:21 | watchfiles.main    | INFO  | 1 change detected
23:59:22 | watchfiles.main    | INFO  | 1 change detected
23:59:22 | watchfiles.main    | INFO  | 1 change detected
23:59:22 | watchfiles.main    | INFO  | 1 change detected
23:59:23 | watchfiles.main    | INFO  | 1 change detected
23:59:23 | watchfiles.main    | INFO  | 1 change detected
23:59:23 | watchfiles.main    | INFO  | 1 change detected
23:59:24 | watchfiles.main    | INFO  | 1 change detected
23:59:24 | watchfiles.main    | INFO  | 1 change detected
23:59:25 | watchfiles.main    | INFO  | 1 change detected
23:59:25 | watchfiles.main    | INFO  | 1 change detected
23:59:26 | watchfiles.main    | INFO  | 1 change detected
23:59:26 | watchfiles.main    | INFO  | 1 change detected
23:59:26 | watchfiles.main    | INFO  | 1 change detected
23:59:27 | watchfiles.main    | INFO  | 1 change detected
23:59:27 | watchfiles.main    | INFO  | 1 change detected
23:59:28 | watchfiles.main    | INFO  | 1 change detected
23:59:28 | watchfiles.main    | INFO  | 1 change detected
23:59:28 | watchfiles.main    | INFO  | 1 change detected
23:59:29 | watchfiles.main    | INFO  | 1 change detected
23:59:29 | watchfiles.main    | INFO  | 1 change detected
23:59:30 | watchfiles.main    | INFO  | 1 change detected
23:59:30 | watchfiles.main    | INFO  | 1 change detected
23:59:30 | watchfiles.main    | INFO  | 1 change detected
23:59:31 | watchfiles.main    | INFO  | 1 change detected
23:59:31 | watchfiles.main    | INFO  | 1 change detected
23:59:32 | watchfiles.main    | INFO  | 1 change detected
23:59:32 | watchfiles.main    | INFO  | 1 change detected
23:59:33 | watchfiles.main    | INFO  | 1 change detected
23:59:33 | watchfiles.main    | INFO  | 1 change detected
23:59:33 | watchfiles.main    | INFO  | 1 change detected
23:59:34 | watchfiles.main    | INFO  | 1 change detected
23:59:34 | watchfiles.main    | INFO  | 1 change detected
23:59:35 | watchfiles.main    | INFO  | 1 change detected
23:59:35 | watchfiles.main    | INFO  | 1 change detected
23:59:35 | watchfiles.main    | INFO  | 1 change detected
23:59:39 | watchfiles.main    | INFO  | 1 change detected
23:59:40 | watchfiles.main    | INFO  | 1 change detected
23:59:44 | watchfiles.main    | INFO  | 1 change detected
23:59:44 | watchfiles.main    | INFO  | 1 change detected
23:59:44 | watchfiles.main    | INFO  | 1 change detected
23:59:45 | watchfiles.main    | INFO  | 1 change detected
23:59:45 | watchfiles.main    | INFO  | 1 change detected
23:59:46 | watchfiles.main    | INFO  | 1 change detected
23:59:46 | watchfiles.main    | INFO  | 1 change detected
23:59:47 | watchfiles.main    | INFO  | 1 change detected
23:59:47 | watchfiles.main    | INFO  | 1 change detected
23:59:47 | watchfiles.main    | INFO  | 1 change detected
23:59:48 | watchfiles.main    | INFO  | 1 change detected
23:59:48 | watchfiles.main    | INFO  | 1 change detected
23:59:48 | watchfiles.main    | INFO  | 1 change detected
23:59:49 | watchfiles.main    | INFO  | 1 change detected
23:59:49 | watchfiles.main    | INFO  | 1 change detected
23:59:50 | watchfiles.main    | INFO  | 1 change detected
23:59:50 | watchfiles.main    | INFO  | 1 change detected
23:59:50 | watchfiles.main    | INFO  | 1 change detected
23:59:51 | watchfiles.main    | INFO  | 1 change detected
23:59:51 | watchfiles.main    | INFO  | 1 change detected
23:59:52 | watchfiles.main    | INFO  | 1 change detected
23:59:52 | watchfiles.main    | INFO  | 1 change detected
23:59:52 | watchfiles.main    | INFO  | 1 change detected
23:59:53 | watchfiles.main    | INFO  | 1 change detected
23:59:53 | watchfiles.main    | INFO  | 1 change detected
23:59:54 | watchfiles.main    | INFO  | 1 change detected
23:59:54 | watchfiles.main    | INFO  | 1 change detected
23:59:54 | watchfiles.main    | INFO  | 1 change detected
23:59:55 | watchfiles.main    | INFO  | 1 change detected
23:59:55 | watchfiles.main    | INFO  | 1 change detected
23:59:56 | watchfiles.main    | INFO  | 1 change detected
23:59:56 | watchfiles.main    | INFO  | 1 change detected
23:59:57 | watchfiles.main    | INFO  | 1 change detected
23:59:57 | watchfiles.main    | INFO  | 1 change detected
23:59:57 | watchfiles.main    | INFO  | 1 change detected
23:59:58 | watchfiles.main    | INFO  | 1 change detected
23:59:58 | watchfiles.main    | INFO  | 1 change detected
23:59:59 | watchfiles.main    | INFO  | 1 change detected
23:59:59 | watchfiles.main    | INFO  | 1 change detected
23:59:59 | watchfiles.main    | INFO  | 1 change detected
00:00:22 | watchfiles.main    | INFO  | 1 change detected
00:00:22 | watchfiles.main    | INFO  | 1 change detected
00:00:23 | watchfiles.main    | INFO  | 1 change detected
00:00:23 | watchfiles.main    | INFO  | 1 change detected
00:00:23 | watchfiles.main    | INFO  | 1 change detected
00:00:24 | watchfiles.main    | INFO  | 1 change detected
00:00:24 | watchfiles.main    | INFO  | 1 change detected
00:00:25 | watchfiles.main    | INFO  | 1 change detected
00:00:25 | watchfiles.main    | INFO  | 1 change detected
00:00:25 | watchfiles.main    | INFO  | 1 change detected
00:00:26 | watchfiles.main    | INFO  | 1 change detected
00:00:26 | watchfiles.main    | INFO  | 1 change detected
00:00:27 | watchfiles.main    | INFO  | 1 change detected
00:00:27 | watchfiles.main    | INFO  | 1 change detected
00:00:27 | watchfiles.main    | INFO  | 1 change detected
00:00:28 | watchfiles.main    | INFO  | 1 change detected
00:00:28 | watchfiles.main    | INFO  | 1 change detected
00:00:29 | watchfiles.main    | INFO  | 1 change detected
00:00:29 | watchfiles.main    | INFO  | 1 change detected
00:00:29 | watchfiles.main    | INFO  | 1 change detected
00:00:30 | watchfiles.main    | INFO  | 1 change detected
00:00:30 | watchfiles.main    | INFO  | 1 change detected
00:00:31 | watchfiles.main    | INFO  | 1 change detected
00:00:31 | watchfiles.main    | INFO  | 1 change detected
00:00:32 | watchfiles.main    | INFO  | 1 change detected
00:00:32 | watchfiles.main    | INFO  | 1 change detected
00:00:32 | watchfiles.main    | INFO  | 1 change detected
00:00:33 | watchfiles.main    | INFO  | 1 change detected
00:00:33 | watchfiles.main    | INFO  | 1 change detected
00:00:34 | watchfiles.main    | INFO  | 1 change detected
00:00:34 | watchfiles.main    | INFO  | 1 change detected
00:00:34 | watchfiles.main    | INFO  | 1 change detected
00:00:35 | watchfiles.main    | INFO  | 1 change detected
00:00:35 | watchfiles.main    | INFO  | 1 change detected
00:00:36 | watchfiles.main    | INFO  | 1 change detected
00:00:36 | watchfiles.main    | INFO  | 1 change detected
00:00:36 | watchfiles.main    | INFO  | 1 change detected
00:00:37 | watchfiles.main    | INFO  | 1 change detected
00:00:37 | watchfiles.main    | INFO  | 1 change detected
00:00:38 | watchfiles.main    | INFO  | 1 change detected
00:00:38 | watchfiles.main    | INFO  | 1 change detected
00:00:39 | watchfiles.main    | INFO  | 1 change detected
00:00:39 | watchfiles.main    | INFO  | 1 change detected
00:00:39 | watchfiles.main    | INFO  | 1 change detected
00:00:40 | watchfiles.main    | INFO  | 1 change detected
00:00:40 | watchfiles.main    | INFO  | 1 change detected
00:00:41 | watchfiles.main    | INFO  | 1 change detected
00:00:41 | watchfiles.main    | INFO  | 1 change detected
00:00:41 | watchfiles.main    | INFO  | 1 change detected
00:00:42 | watchfiles.main    | INFO  | 1 change detected
00:00:42 | watchfiles.main    | INFO  | 1 change detected
00:00:43 | watchfiles.main    | INFO  | 1 change detected
00:00:43 | watchfiles.main    | INFO  | 1 change detected
00:00:44 | watchfiles.main    | INFO  | 1 change detected
00:00:44 | watchfiles.main    | INFO  | 1 change detected
00:00:44 | watchfiles.main    | INFO  | 1 change detected
00:00:45 | watchfiles.main    | INFO  | 1 change detected
00:00:45 | watchfiles.main    | INFO  | 1 change detected
00:00:46 | watchfiles.main    | INFO  | 1 change detected
00:00:46 | watchfiles.main    | INFO  | 1 change detected
00:00:46 | watchfiles.main    | INFO  | 1 change detected
00:00:47 | watchfiles.main    | INFO  | 1 change detected
00:00:47 | watchfiles.main    | INFO  | 1 change detected
00:00:48 | watchfiles.main    | INFO  | 1 change detected
00:00:48 | watchfiles.main    | INFO  | 1 change detected
00:00:48 | watchfiles.main    | INFO  | 1 change detected
00:00:49 | watchfiles.main    | INFO  | 1 change detected
00:00:49 | watchfiles.main    | INFO  | 1 change detected
00:00:50 | watchfiles.main    | INFO  | 1 change detected
00:00:50 | watchfiles.main    | INFO  | 1 change detected
00:00:50 | watchfiles.main    | INFO  | 1 change detected
00:00:51 | watchfiles.main    | INFO  | 1 change detected
00:00:51 | watchfiles.main    | INFO  | 1 change detected
00:00:52 | watchfiles.main    | INFO  | 1 change detected
00:00:52 | watchfiles.main    | INFO  | 1 change detected
00:00:53 | watchfiles.main    | INFO  | 1 change detected
00:00:53 | watchfiles.main    | INFO  | 1 change detected
00:00:53 | watchfiles.main    | INFO  | 1 change detected
00:00:54 | watchfiles.main    | INFO  | 1 change detected
00:00:54 | watchfiles.main    | INFO  | 1 change detected
00:00:55 | watchfiles.main    | INFO  | 1 change detected
00:00:55 | watchfiles.main    | INFO  | 1 change detected
00:00:55 | watchfiles.main    | INFO  | 1 change detected
00:00:56 | watchfiles.main    | INFO  | 1 change detected
00:00:56 | watchfiles.main    | INFO  | 1 change detected
00:00:57 | watchfiles.main    | INFO  | 1 change detected
00:00:57 | watchfiles.main    | INFO  | 1 change detected
00:00:58 | watchfiles.main    | INFO  | 1 change detected
00:00:58 | watchfiles.main    | INFO  | 1 change detected
00:00:58 | watchfiles.main    | INFO  | 1 change detected
00:00:59 | watchfiles.main    | INFO  | 1 change detected
00:00:59 | watchfiles.main    | INFO  | 1 change detected
00:00:59 | watchfiles.main    | INFO  | 1 change detected
00:01:00 | watchfiles.main    | INFO  | 1 change detected
00:01:00 | watchfiles.main    | INFO  | 1 change detected
00:01:01 | watchfiles.main    | INFO  | 1 change detected
00:01:01 | watchfiles.main    | INFO  | 1 change detected
00:01:01 | watchfiles.main    | INFO  | 1 change detected
00:01:02 | watchfiles.main    | INFO  | 1 change detected
00:01:02 | watchfiles.main    | INFO  | 1 change detected
00:01:03 | watchfiles.main    | INFO  | 1 change detected
00:01:03 | watchfiles.main    | INFO  | 1 change detected
00:01:03 | watchfiles.main    | INFO  | 1 change detected
00:01:04 | watchfiles.main    | INFO  | 1 change detected
00:01:04 | watchfiles.main    | INFO  | 1 change detected
00:01:05 | watchfiles.main    | INFO  | 1 change detected
00:01:05 | watchfiles.main    | INFO  | 1 change detected
00:01:05 | watchfiles.main    | INFO  | 1 change detected
00:01:06 | watchfiles.main    | INFO  | 1 change detected
00:01:06 | watchfiles.main    | INFO  | 1 change detected
00:01:07 | watchfiles.main    | INFO  | 1 change detected
00:01:07 | watchfiles.main    | INFO  | 1 change detected
00:01:08 | watchfiles.main    | INFO  | 1 change detected
00:01:08 | watchfiles.main    | INFO  | 1 change detected
00:01:08 | watchfiles.main    | INFO  | 1 change detected
00:01:09 | watchfiles.main    | INFO  | 1 change detected
00:01:09 | watchfiles.main    | INFO  | 1 change detected
00:01:10 | watchfiles.main    | INFO  | 1 change detected
00:01:10 | watchfiles.main    | INFO  | 1 change detected
00:01:10 | watchfiles.main    | INFO  | 1 change detected
00:01:11 | watchfiles.main    | INFO  | 1 change detected
00:01:11 | watchfiles.main    | INFO  | 1 change detected
00:01:12 | watchfiles.main    | INFO  | 1 change detected
00:01:12 | watchfiles.main    | INFO  | 1 change detected
00:01:12 | watchfiles.main    | INFO  | 1 change detected
00:01:13 | watchfiles.main    | INFO  | 1 change detected
00:01:13 | watchfiles.main    | INFO  | 1 change detected
00:01:13 | watchfiles.main    | INFO  | 1 change detected
00:01:14 | watchfiles.main    | INFO  | 2 changes detected
00:01:14 | aura.app           | INFO  | AURA v2 shut down.
00:01:15 | werkzeug           | INFO  |  * Detected change in 'C:\\Users\\kondr\\Desktop\\AURALAVDA1\\main.py', reloading
00:01:15 | watchfiles.main    | INFO  | 1 change detected
00:01:15 | werkzeug           | INFO  |  * Restarting with stat
00:01:15 | watchfiles.main    | INFO  | 1 change detected
00:01:15 | watchfiles.main    | INFO  | 1 change detected
00:01:16 | watchfiles.main    | INFO  | 1 change detected
00:01:16 | aura.app           | INFO  | AURA v2 shut down.
00:01:16 | watchfiles.main    | INFO  | 1 change detected
00:01:16 | aura.app           | INFO  | AURA v2 starting up...
00:01:16 | watchfiles.main    | INFO  | 6 changes detected
00:01:17 | aura.app           | INFO  |    Listening on http://127.0.0.1:5000
00:01:17 | werkzeug           | WARNING |  * Debugger is active!
00:01:17 | werkzeug           | INFO  |  * Debugger PIN: 124-926-052
00:01:19 | aura.app           | INFO  | AURA v2 starting up...
00:01:22 | watchfiles.main    | INFO  | 1 change detected
00:01:22 | watchfiles.main    | INFO  | 1 change detected
00:01:27 | watchfiles.main    | INFO  | 1 change detected
00:02:22 | aura.app           | INFO  | AURA v2 starting up...
00:02:22 | aura.app           | INFO  | AURA v2 shut down.
00:03:07 | aura.app           | INFO  | AURA v2 starting up...
00:03:07 | aura.app           | INFO  | AURA v2 shut down.
00:04:05 | aura.app           | INFO  | AURA v2 starting up...
00:04:05 | aura.app           | INFO  | AURA v2 shut down.
00:05:25 | aura.app           | INFO  | AURA v2 starting up...
00:06:56 | aura.app           | INFO  | Input: 'Book a flight to Dubai'
00:06:56 | aura.app           | INFO  | Language: English (en)
00:06:59 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:06:59 | aura.app           | INFO  | Intent: flight_booking | Source: keyword
00:06:59 | comtypes.client._code_cache | INFO  | Imported existing <module 'comtypes.gen' from 'C:\\Users\\kondr\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
00:06:59 | comtypes.client._code_cache | INFO  | Using writeable comtypes cache directory: 'C:\Users\kondr\AppData\Local\Programs\Python\Python311\Lib\site-packages\comtypes\gen'
00:07:00 | aura.app           | INFO  | Response sent successfully.
00:16:26 | aura.app           | INFO  | AURA v2 shut down.
00:16:38 | aura.app           | INFO  | AURA v2 starting up...
00:19:40 | aura.app           | INFO  | Input: 'hello'
00:19:40 | aura.app           | INFO  | Language: English (en)
00:19:43 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:19:43 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:19:43 | comtypes.client._code_cache | INFO  | Imported existing <module 'comtypes.gen' from 'C:\\Users\\kondr\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
00:19:43 | comtypes.client._code_cache | INFO  | Using writeable comtypes cache directory: 'C:\Users\kondr\AppData\Local\Programs\Python\Python311\Lib\site-packages\comtypes\gen'
00:19:44 | aura.app           | INFO  | Response sent successfully.
00:20:40 | aura.app           | INFO  | Input: 'hello'
00:20:40 | aura.app           | INFO  | Language: English (en)
00:20:43 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:20:43 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:20:43 | aura.app           | INFO  | Response sent successfully.
00:23:05 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:23:05 | aura.translation   | INFO  | Translation unavailable, returning original text
00:23:41 | aura.app           | INFO  | Input: 'hello'
00:23:41 | aura.app           | INFO  | Language: English (en)
00:23:44 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:23:44 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:23:44 | aura.app           | INFO  | Response sent successfully.
00:25:25 | aura.app           | INFO  | AURA v2 shut down.
00:25:37 | aura.app           | INFO  | AURA v2 starting up...
00:26:32 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:29:04 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:29:10 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:29:21 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:29:33 | aura.translation   | WARNING | Translation via Ollama failed: All connection attempts failed
00:30:25 | comtypes.client._code_cache | INFO  | Imported existing <module 'comtypes.gen' from 'C:\\Users\\kondr\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
00:30:25 | comtypes.client._code_cache | INFO  | Using writeable comtypes cache directory: 'C:\Users\kondr\AppData\Local\Programs\Python\Python311\Lib\site-packages\comtypes\gen'
00:31:45 | aura.app           | INFO  | Input: 'hello how are you'
00:31:45 | aura.app           | INFO  | Language: English (en)
00:31:47 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:31:47 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:31:48 | aura.app           | INFO  | Response sent successfully.
00:31:58 | aura.app           | INFO  | Input: 'what is the best place for biryani in Hyderabad'
00:31:58 | aura.app           | INFO  | Language: English (en)
00:32:01 | aura.llm           | WARNING | Ollama unavailable (All connection attempts failed), using fallback
00:32:01 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:32:01 | aura.app           | INFO  | Response sent successfully.
00:38:05 | aura.app           | INFO  | AURA v2 starting up...
00:38:05 | aura.app           | INFO  | AURA v2 shut down.
00:42:03 | aura.app           | INFO  | Input: 'hi'
00:42:03 | aura.app           | INFO  | Language: English (en)
00:42:04 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 404 Not Found"
00:42:04 | aura.llm           | WARNING | Ollama HTTP 404
00:42:04 | aura.app           | INFO  | Intent: general_help | Source: keyword
00:42:04 | aura.app           | INFO  | Response sent successfully.
00:42:22 | aura.app           | INFO  | Input: 'whats the best place to eat biryani in hyderabad?'
00:42:22 | aura.app           | INFO  | Language: English (en)
00:42:23 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 404 Not Found"
00:42:23 | aura.llm           | WARNING | Ollama HTTP 404
00:42:23 | aura.app           | INFO  | Intent: restaurant_booking | Source: keyword
00:42:23 | aura.app           | INFO  | Response sent successfully.
00:42:48 | aura.app           | INFO  | Input: 'places to visit in hyderabad'
00:42:48 | aura.app           | INFO  | Language: English (en)
00:42:49 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 404 Not Found"
00:42:49 | aura.llm           | WARNING | Ollama HTTP 404
00:42:49 | aura.app           | INFO  | Intent: tour_booking | Source: keyword
00:42:49 | aura.app           | INFO  | Response sent successfully.
00:48:20 | aura.app           | INFO  | AURA v2 starting up...
00:50:01 | aura.app           | INFO  | Input: 'what is the best place for biryani in Hyderabad'
00:50:01 | aura.app           | INFO  | Language: English (en)
00:50:14 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
00:50:14 | aura.memory        | INFO  | Remembered: [route] Is The Best Place=searched_restaurant_booking
00:50:14 | aura.app           | INFO  | Intent: restaurant_booking | Source: ollama
00:50:14 | comtypes.client._code_cache | INFO  | Imported existing <module 'comtypes.gen' from 'C:\\Users\\kondr\\AppData\\Local\\Programs\\Python\\Python311\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
00:50:14 | comtypes.client._code_cache | INFO  | Using writeable comtypes cache directory: 'C:\Users\kondr\AppData\Local\Programs\Python\Python311\Lib\site-packages\comtypes\gen'
00:50:14 | aura.app           | INFO  | Response sent successfully.
00:50:33 | aura.app           | INFO  | Input: 'book a flight from Delhi to Mumbai'
00:50:33 | aura.app           | INFO  | Language: English (en)
00:50:42 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/chat "HTTP/1.1 200 OK"
00:50:42 | aura.memory        | INFO  | Remembered: [route] Delhi To Mumbai=searched_flight_booking
00:50:42 | aura.app           | INFO  | Intent: flight_booking | Source: ollama
00:50:43 | aura.app           | INFO  | Response sent successfully.
01:00:40 | aura.app           | INFO  | AURA v2 starting up...
01:07:14 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
01:07:14 | aura.translation   | INFO  | Translated en->hi: hello...
01:07:21 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
01:07:21 | aura.translation   | INFO  | Translated en->hi: hello...
01:07:31 | httpx              | INFO  | HTTP Request: POST http://localhost:11434/api/generate "HTTP/1.1 200 OK"
